str,nutri_scores
"Dock, cooked, boiled",c
"Eppaw, raw",d
"Drumstick pods, raw",d
Horseradish tree pods,c
"Drumstick pods, cooked, boiled",c
Horseradish tree pods,c
"Leeks, freeze-dried",c
"Parsley, freeze-dried",c
"Beans, mung, mature seeds",d
"Peppers, jalapeno, canned",d
"Radishes, white icicle, raw",d
"Shallots, freeze-dried",d
"Squash, summer, all varieties",d
"Squash, winter, all varieties",d
"Sweet potato, canned, syrup pack",d
Sweetpotato,d
"Beans, pinto, mature seeds",d
"Carrot juice, canned",e
"Corn pudding, home prepared",e
Spinach souffle,d
"Sweet potato, cooked, candied",d
Sweetpotato,d
"Seaweed, agar, dried",d
"Seaweed, spirulina, raw",d
"Seaweed, spirulina, dried",d
"Seaweed, wakame, raw",d
"Potatoes, o'brien, home-prepared",d
Potato pancakes,c
"Potatoes, baked, flesh and skin",d
"Radish seeds, sprouted, raw",e
"Shallots, raw",e
"Carrot, dehydrated",c
"Tomatoes, crushed, canned",d
"Tomatoes, orange, raw",d
"Tomatoes, yellow, raw",c
"Arrowroot, raw",d
"Chrysanthemum leaves, raw",d
"Asparagus, canned, no salt added",c
"Beans, snap, yellow",c
"Beets, cooked, boiled. drained",c
"Beets, canned, no salt added",d
"Broccoli, leaves, raw",c
"Broccoli, flower clusters, raw",d
"Broccoli, stalks, raw",c
"Cabbage, common (danish, domestic)",c
"Cabbage, common, cooked",c
"Carrots, canned, no salt added",c
"New zealand spinach, cooked, boiled",c
"Peas, edible-podded, cooked",c
Sugar snap peas,c
Snowpeas,c
"Peas and carrots, canned, no salt added",c
"Peppers, hot chili, red",c
"Peppers, sweet, red",c
"Potatoes, baked, skin only",c
"Potatoes, microwaved, cooked",c
"Potatoes, au gratin, home-prepared from recipe using margarine",d
"Potatoes, scalloped, home-prepared with margarine",c
"Pumpkin, canned, with salt",c
"Pumpkin, flowers, cooked",c
"Spinach, canned, no salt added",c
"Taro, cooked, with salt",c
"Taro, leaves, cooked",c
"Taro, shoots, cooked",d
"Tomato juice, canned, without salt added",d
"Winged bean, immature seeds, cooked",d
"Corn, sweet, white",d
"Tree fern, cooked, with salt",c
"Potatoes, mashed, prepared from granules",c
Catsup,c
Ketchup,d
"Pickles, cucumber, dill or kosher dill",c
"Mushroom, white, exposed to ultraviolet light",d
"Mushrooms, portabella, exposed to ultraviolet light",d
portobella,c
"Pickles, cucumber, sweet ",d
"Pickles, cucumber, sour",d
"Pimento, canned",d
"Pickle relish, hot dog",c
"Pickle relish, sweet",d
"Pickles, cucumber, dill",d
"Pickles, cucumber, sweet",d
"Catsup, low sodium",e
Ketchup,c
low sodium,c
"Mushrooms, enoki, raw",e
"Peppers, sweet, yellow",d
"Radicchio, raw",a
"Squash, zucchini, baby",c
"Tomatillos, raw",c
"Tomatoes, sun-dried",e
"Tomatoes, sun-dried, packed in oil",c
"Fennel, bulb, raw",d
"Pickle relish, hamburger",c
"Arugula, raw",d
"Carrots, baby, raw",d
"Hearts of palm, canned",c
"Peppers, hot chile, sun-dried",c
"Nopales, raw",d
"Nopales, cooked, without salt",c
"Cauliflower, green, raw",c
"Cauliflower, green, cooked",e
"Broccoli, chinese, cooked",c
"Cabbage, napa, cooked",d
"Lemon grass , raw",b
"Beans, fava, in pod",d
"Grape leaves, raw",d
"Grape leaves, canned",c
"Pepper, banana, raw",c
"Peppers, serrano, raw",d
"Peppers, ancho, dried",d
"Peppers, jalapeno, raw",d
"Peppers, chili, green",c
"Peppers, hungarian, raw",d
"Peppers, pasilla, dried",e
"Pickles, chowchow, with cauliflower onion mustard",e
"Epazote, raw",c
"Fireweed, leaves, raw",d
"Malabar spinach, cooked",d
"Mushrooms, oyster, raw",c
"Fungi, Cloud ears, dried",d
"Mushrooms, straw, canned",d
"Wasabi, root, raw",c
"Yautia , raw",d
"Mushrooms, white, microwaved",d
"Mushrooms, maitake, raw",d
"Broccoli, chinese, raw",c
gai-lan,d
kai-lan,d
"Fiddlehead ferns, raw",d
"Fiddlehead ferns, frozen, unprepared",d
"Seeds, breadfruit seeds, raw",d
"Seeds, breadfruit seeds, boiled",d
"Seeds, breadnut tree seeds, raw",c
"Seeds, breadnut tree seeds, dried",d
"Seeds, chia seeds, dried",a
"Seeds, cottonseed flour, partially defatted ",c
"Seeds, cottonseed flour, low fat ",d
"Seeds, cottonseed meal, partially defatted ",c
"Seeds, hemp seed, hulled",e
"Seeds, lotus seeds, dried",e
"Seeds, pumpkin and squash seed kernels, dried",d
pepitas,b
"Seeds, pumpkin and squash seed kernels, roasted",d
pepitas,d
"Seeds, safflower seed kernels, dried",c
"Seeds, safflower seed meal, partially defatted",c
"Seeds, sesame seeds, whole",c
"Seeds, sesame seed kernels, toasted",c
"Seeds, sesame flour, partially defatted",c
"Seeds, sesame flour, low-fat",c
"Seeds, sesame meal, partially defatted",c
"Seeds, sunflower seed kernels, dried",c
"Seeds, sunflower seed kernels, dry roasted",d
"Seeds, sunflower seed kernels, oil roasted",a
"Seeds, sunflower seed kernels, toasted",d
"Seeds, sunflower seed butter, without salt",d
"Seeds, sunflower seed flour, partially defatted",d
"Nuts, acorns, raw",c
"Nuts, acorns, dried",b
"Nuts, acorn flour, full fat",b
"Nuts, almonds",c
"Nuts, almonds, blanched",c
"Nuts, almonds, dry roasted",d
Includes USDA commodity food A255,c
A263,c
"Nuts, almonds, oil roasted",c
"Nuts, almond paste",b
"Nuts, beechnuts, dried",c
"Nuts, brazilnuts, dried",c
brazil nuts,e
"Nuts, butternuts, dried",c
"Nuts, cashew nuts, dry roasted",c
"Nuts, cashew nuts, oil roasted",c
"Nuts, cashew nuts, raw",c
"Nuts, cashew butter, plain",a
"Nuts, chestnuts, chinese",c
"Nuts, chestnuts, european",c
"Nuts, coconut meat, raw",d
"Nuts, coconut meat, dried ",c
"Nuts, coconut cream, raw ",c
"Nuts, coconut cream, canned",b
"Nuts, coconut milk, raw ",b
"Nuts, coconut milk, canned ",c
"Nuts, coconut water ",a
"Nuts, hazelnuts or filberts",b
"Nuts, hazelnuts or filberts, blanched",d
"Nuts, hazelnuts or filberts, dry roasted",a
"Nuts, ginkgo nuts, raw",a
"Nuts, ginkgo nuts, dried",b
"Nuts, ginkgo nuts, canned",c
"Nuts, hickorynuts, dried",a
"Nuts, macadamia nuts, raw",a
"Nuts, macadamia nuts, dry roasted",c
"Nuts, mixed nuts, dry roasted",b
"Nuts, mixed nuts, oil roasted",c
"Nuts, formulated, wheat-based",c
"Nuts, pecans",b
"Nuts, pecans, dry roasted",b
"Nuts, pecans, oil roasted",a
"Nuts, pilinuts, dried",b
"Nuts, pine nuts, dried",a
"Nuts, pine nuts, pinyon",a
pinon,b
"Nuts, pistachio nuts, raw",b
"Nuts, pistachio nuts, dry roasted",a
"Nuts, walnuts, black",a
"Nuts, walnuts, english",a
"Nuts, walnuts, glazed",a
"Nuts, walnuts, dry roasted",a
"Seeds, breadfruit seeds, roasted",a
"Seeds, cottonseed kernels, roasted ",c
"Seeds, pumpkin and squash seeds, whole",c
"Seeds, sesame butter, tahini",b
"Seeds, sesame butter, paste",c
"Seeds, sesame flour, high-fat",c
"Seeds, watermelon seed kernels, dried",b
"Nuts, chestnuts, japanese",d
"Nuts, coconut milk, frozen ",a
"Seeds, sisymbrium sp. seeds, whole",a
"Nuts, almond butter, plain",a
"Seeds, sesame seed kernels, dried ",a
"Seeds, lotus seeds, raw",a
"Nuts, almonds, honey roasted",a
"Seeds, flaxseed",a
"Seeds, sunflower seed kernels from shell, dry roasted",b
"Seeds, sunflower seed butter, with salt added ",a
"Beef, grass-fed, strip steaks",a
"Beef, carcass, separable lean and fat",a
"Beef, retail cuts, separable fat",b
"Beef, brisket, whole",b
"Beef, grass-fed, ground",b
Hamburger,b
"Beef, brisket, flat half",b
URMIS #1623,a
"Beef, flank, steak",b
URMIS #2399,b
"Beef, rib, eye",a
ribeye,a
Delmonico,b
"Beef, rib, shortribs",c
URMIS #2074,a
"Beef, round, full cut",c
"Beef, shank crosscuts, separable lean only",d
"Beef, short loin, porterhouse steak",a
Porterhouse Steak,b
URMIS # 2145,d
"Beef, short loin, t-bone steak",d
T-Bone Steak,c
URMIS # 2184,e
"Beef, rib eye, small end ",b
"Beef, chuck, under blade pot roast",b
URMIS #1151,b
Beef,b
Chuck,b
Under Blade Pot Roast,c
"Beef, chuck, under blade pot roast or steak",c
Beef,c
Chuck,a
Under Blade Pot Roast or Steak,a
URMIS #1151,c
URMIS #1158,a
"Beef, ground, patties",c
hamburger,a
"Beef, variety meats and by-products, brain",b
"Beef, variety meats and by-products, heart",c
"Beef, variety meats and by-products, kidneys",a
"Beef, variety meats and by-products, liver",a
"Beef, variety meats and by-products, lungs",c
"Beef, variety meats and by-products, mechanically separated beef",c
"Beef, variety meats and by-products, pancreas",c
"Beef, variety meats and by-products, spleen",c
"Beef, variety meats and by-products, suet",c
"Beef, variety meats and by-products, thymus",c
"Beef, variety meats and by-products, tongue",c
"Beef, variety meats and by-products, tripe",c
"Beef, sandwich steaks, flaked",c
"Beef, cured, breakfast strips",c
"Beef, cured, corned beef",c
"Beef, cured, dried",c
"Beef, chuck, under blade center steak",c
Beef,b
Chuck,d
Denver Cut (Serratus Ventralis Steaks),b
URMIS #1098,c
"Beef, cured, luncheon meat",d
"Beef, cured, pastrami",a
"Sausage, beef, cured",a
"Beef, chopped, cured",c
"Beef, composite of trimmed retail cuts, separable lean and fat",a
"Beef, composite of trimmed retail cuts, separable lean only",d
"Beef, brisket, point half",e
URMIS #1628,d
"Beef, chuck, arm pot roast",d
"Beef, chuck, blade roast",d
Top Blade Steak,c
"Beef, rib, large end ",b
"Beef, rib, small end ",d
"Beef, round, bottom round",d
Cube Steak,a
"Beef, round, bottom round roast",a
URMIS #1464,a
"Beef, round, eye of round roast",b
Eye of Round Roast,d
"Beef, round, tip round",c
Cube steak,c
"Beef, round, top round",a
London Broil,b
Cube steak,a
Round Steak,a
Minute Steak,a
"Beef, loin, tenderloin steak",a
Filet Mignon,a
Tenderloin Steak,a
Beef Medallions,d
"Beef, loin, top loin steak",b
Kansas City Strip,c
Boneless Strip Steak,c
Club Steak,a
New York Strip,c
"Beef, top sirloin, steak",c
Sirloin strip,c
Sirloin steak,c
"Beef, round, top round steak",a
Top Round Steak,a
"Beef, ground, 70% lean meat / 30% fat",c
Hamburger,a
"Beef, shoulder top blade steak, boneless",a
Beef,b
Chuck,c
Top Blade Steak,c
URMIS #1144,d
"Beef, shoulder pot roast or steak, boneless",d
URMIS #1132,d
URMIS #1133,c
Beef,d
Chuck,a
Clod (Shoulder) Roast or Steak,c
"Beef, chuck eye roast, boneless",d
URMIS #1095,d
"Beef, rib, whole ",d
"Beef, round, eye of round",e
"Beef, short loin, top loin",a
Kansas City Strip,d
Club Steak,b
Boneless Strip Steak,c
New York Strip,c
"Beef, loin, top loin",c
Kansas City Strip,c
Club Steak,c
Boneless Strip Steak,e
New York Strip,b
"Beef, tenderloin, steak",b
Filet Mignon,c
Beef Medallions,c
"Beef, tenderloin, roast",a
Filet Mignon,b
Beef Medallions,a
"Beef, tenderloin, separable lean and fat",a
Filet Mignon,c
Beef Medallions,b
"Beef, chuck, clod roast",d
URMIS #1947,c
"Beef, shoulder steak, boneless",e
URMIS #1133,c
"Beef, bottom sirloin, tri-tip roast",b
"Beef, chuck, mock tender steak",b
URMIS #1931,b
Mock Tender Steak,b
"Beef, chuck, top blade",a
URMIS #1959,b
Top Blade Roast,b
Boneless,a
"Beef, plate, inside skirt steak",b
Plate Skirt Steak,a
"Beef, plate, outside skirt steak",a
Plate Skirt Steak,a
"Beef, chuck, short ribs",a
Beef,c
Chuck,a
Short Ribs,c
URMIS #1127,c
"Beef, loin, bottom sirloin butt",d
"Fish, anchovy, european",c
"Fish, bass, fresh water",b
"Fish, bass, striped",d
"Fish, bluefish, raw",b
"Fish, burbot, raw",a
"Fish, butterfish, raw",a
"Fish, carp, raw",c
"Fish, carp, cooked",c
"Fish, catfish, channel",d
"Fish, caviar, black and red",d
"Fish, cisco, raw",c
"Fish, cisco, smoked",a
"Fish, cod, Atlantic",b
"Fish, cod, Pacific",c
"Fish, croaker, Atlantic",c
"Fish, cusk, raw",c
"Fish, mahimahi, raw",b
"Fish, drum, freshwater",c
"Fish, eel, mixed species",b
"Fish, fish sticks, frozen",c
"Fish, flatfish , raw",b
"Fish, flatfish , cooked",c
"Fish, gefiltefish, commercial",c
"Fish, grouper, mixed species",c
"Fish, haddock, raw",a
"Fish, haddock, cooked",a
"Fish, haddock, smoked",a
"Fish, halibut, Atlantic and Pacific",e
"Fish, halibut, Greenland",b
"Fish, herring, Atlantic",c
"Fish, herring, Pacific",d
"Fish, ling, raw",c
"Fish, lingcod, raw",b
"Fish, mackerel, Atlantic",b
"Fish, mackerel, jack",c
"Fish, mackerel, king",c
"Fish, mackerel, Pacific and jack",c
"Fish, mackerel, spanish",c
"Fish, milkfish, raw",a
"Fish, monkfish, raw",c
"Fish, mullet, striped",c
"Fish, ocean perch, Atlantic",c
"Fish, pout, ocean",b
"Fish, perch, mixed species",c
"Fish, pike, northern",c
"Fish, pike, walleye",c
"Fish, pollock, Atlantic",b
"Fish, pollock, Alaska",b
"Fish, pompano, florida",c
"Fish, rockfish, Pacific",c
"Fish, roe, mixed species",b
"Fish, roughy, orange",c
"Fish, sablefish, raw",b
"Fish, sablefish, smoked",c
"Fish, salmon, Atlantic",c
"Fish, salmon, chinook",d
"Fish, salmon, chum",d
"Fish, salmon, coho",c
"Fish, salmon, pink",c
"Fish, salmon, sockeye",a
"Fish, sardine, Atlantic",c
"Fish, sardine, Pacific",c
"Fish, scup, raw",c
"Fish, sea bass, mixed species",c
"Fish, seatrout, mixed species",c
"Fish, shad, american",c
"Fish, shark, mixed species",c
"Fish, sheepshead, raw",d
"Fish, sheepshead, cooked",a
"Fish, smelt, rainbow",c
"Fish, snapper, mixed species",c
"Fish, spot, raw",c
"Fish, sturgeon, mixed species",a
"Fish, sucker, white",d
"Fish, sunfish, pumpkin seed",c
"Fish, surimi",c
"Fish, swordfish, raw",c
"Fish, swordfish, cooked",c
"Fish, tilefish, raw",a
"Fish, tilefish, cooked",c
"Fish, trout, mixed species",c
"Fish, trout, rainbow",b
"Fish, tuna, fresh",b
"Fish, tuna, light",b
"Fish, tuna, white",b
"Fish, tuna salad",c
"Fish, turbot, european",b
"Fish, whitefish, mixed species",b
"Fish, whiting, mixed species",b
"Fish, wolffish, Atlantic",b
"Fish, yellowtail, mixed species",a
"Crustaceans, crab, alaska king",c
"Crustaceans, crab, blue",b
"Crustaceans, crab, dungeness",d
"Crustaceans, crab, queen",c
"Crustaceans, crayfish, mixed species",c
"Crustaceans, lobster, northern",c
"Crustaceans, shrimp, mixed species",c
"Crustaceans, spiny lobster, mixed species",b
"Mollusks, abalone, mixed species",b
"Mollusks, clam, mixed species",a
"Mollusks, cuttlefish, mixed species",b
"Mollusks, mussel, blue",c
"Mollusks, octopus, common",a
"Mollusks, oyster, eastern",a
"Mollusks, oyster, Pacific",b
"Mollusks, scallop, mixed species",b
"Mollusks, squid, mixed species",b
"Mollusks, whelk, unspecified",b
"Fish, bass, freshwater",b
"Fish, bluefish, cooked",b
"Fish, burbot, cooked",b
"Fish, butterfish, cooked",c
"Fish, cusk, cooked",a
"Fish, mahimahi, cooked",c
"Fish, halibut, greenland",b
"Fish, ling, cooked",b
"Fish, lingcod, cooked",b
"Fish, milkfish, cooked",a
"Fish, monkfish, cooked",b
"Fish, sablefish, cooked",c
"Fish, scup, cooked",b
"Fish, spot, cooked",b
"Fish, tuna, skipjack",b
"Fish, tuna, yellowfin",b
"Mollusks, conch, baked or broiled",b
"Salmon nuggets, breaded, frozen",a
"Salmon nuggets, cooked as purchased, unheated",b
"Salmon, sockeye, canned",a
"Fish, tilapia, raw",b
"Fish, tilapia, cooked",c
"Fish, Salmon, pink",b
"Crustaceans, shrimp, raw",b
"Crustaceans, shrimp, cooked",b
"Fish, trout, brook",b
"Beans, adzuki, mature seeds",c
"Yokan, prepared from adzuki beans and sugar",c
"Beans, baked, home prepared",a
"Beans, baked, canned",a
"Beans, black, mature seeds",c
"Beans, black turtle, mature seeds",a
"Beans, cranberry , mature seeds",a
"Beans, french, mature seeds",a
"Beans, great northern, mature seeds",b
"Beans, kidney, all types",c
"Beans, kidney, california red",a
"Beans, kidney, red",b
"Beans, kidney, royal red",d
"Beans, pink, mature seeds",b
"Beans, small white, mature seeds",a
"Beans, yellow, mature seeds",b
"Beans, white, mature seeds",c
"Broadbeans, mature seeds, raw",a
"Broadbeans, mature seeds, cooked",a
"Broadbeans, mature seeds, canned",c
Carob flour,a
"Chickpeas , mature seeds",a
"Chili with beans, canned",a
"Cowpeas, catjang, mature seeds",a
"Cowpeas, common (blackeyes, crowder",b
"Hyacinth beans, mature seeds, raw",a
"Hyacinth beans, mature seeds, cooked",b
"Lentils, raw",b
"Lentils, mature seeds, cooked",b
"Lima beans, large, mature seeds",c
"Lima beans, thin seeded , mature seeds",b
"Lupins, mature seeds, raw",b
"Lupins, mature seeds, cooked",b
"Mothbeans, mature seeds, raw",b
mat bean,b
moth bean,b
"Mothbeans, mature seeds, cooked",c
mat bean,b
moth bean,c
"Mung beans, mature seeds, raw",b
"Mung beans, mature seeds, cooked",a
"Noodles, chinese, cellophane or long rice ",c
"Mungo beans, mature seeds, raw",c
"Mungo beans, mature seeds, cooked",b
"Peas, green, split",b
"Peas, split, mature seeds",a
"Peanuts, all types, raw",c
"Peanuts, all types, cooked",a
"Peanuts, all types, oil-roasted",c
"Peanuts, all types, dry-roasted",a
"Peanuts, spanish, raw",b
"Peanuts, spanish, oil-roasted",b
"Peanuts, valencia, raw",b
"Peanuts, valencia, oil-roasted",c
"Peanuts, virginia, raw",b
"Peanuts, virginia, oil-roasted",c
"Peanut butter, chunk style, with salt",b
"Peanut butter, smooth style, with salt ",b
"Peanut flour, defatted",b
"Peanut flour, low fat",a
"Pigeon peas , mature seeds, raw",b
"Pigeon peas , mature seeds, cooked",b
"Refried beans, canned, traditional style",b
"Bacon, meatless",a
Meat extender,a
"Sausage, meatless",a
"Soybeans, mature seeds, raw",c
"Soybeans, mature cooked, boiled",b
"Soybeans, mature seeds, roasted",a
"Soybeans, mature seeds, dry roasted",a
Soy nuts,b
Miso,b
Natto,b
Tempeh,a
"Soy flour, full-fat, raw",b
"Soy flour, full-fat, roasted",b
"Soy flour, defatted",b
"Soy flour, low-fat",b
"Soy meal, defatted, raw",b
"Soymilk, original and vanilla, unfortified",c
"Soy protein concentrate, produced by alcohol extraction",b
Soy protein isolate,b
Soy sauce made from soy and wheat,c
Soy sauce made from soy,b
Soy sauce made from hydrolyzed vegetable protein,b
"Tofu, firm, prepared with calcium sulfate and magnesium chloride ",a
"Tofu, soft, prepared with calcium sulfate and magnesium chloride ",c
"Tofu, dried-frozen ",c
"Tofu, fried",c
Okara,b
"Tofu, salted and fermented ",c
"Yardlong beans, mature seeds, raw",c
"Yardlong beans, mature seeds, cooked",a
"Winged beans, mature seeds, raw",a
"Winged beans, mature seeds, cooked",a
"Hummus, home prepared",a
"Falafel, home-prepared",c
"Soymilk, original and vanilla, with added calcium",b
"Lentils, pink or red, raw",b
"Beans, pinto, canned",b
"Veggie burgers or soyburgers, unprepared",a
"Peanut spread, reduced sugar",a
"Peanut butter, smooth, reduced fat",a
"Peanut butter, smooth, vitamin and mineral fortified",b
"Peanut butter, chunky, vitamin and mineral fortified",b
Chickpea flour,b
"Hummus, commercial",a
"Tofu, extra firm, prepared with nigari",a
"Tofu, hard, prepared with nigari",b
"Tofu, silken",b
"Soymilk, chocolate, unfortified",c
"Peanut Butter, smooth ",b
"Soymilk, chocolate, with added calcium",c
"Refried beans, canned, vegetarian",a
"Refried beans, canned, fat-free",a
Frijoles rojos volteados ,b
"Tempeh, cooked",a
"Vitasoy USA, Nasoya Lite Firm Tofu",a
"Vitasoy USA, Organic Nasoya Super Firm Cubed Tofu",b
"Vitasoy USA, Organic Nasoya Extra Firm Tofu",a
"Vitasoy USA, Organic Nasoya Firm Tofu",b
"Vitasoy USA, Organic Nasoya Silken Tofu",b
"Vitasoy USA, Vitasoy Organic Creamy Original Soymilk",b
"Vitasoy USA, Vitasoy Organic Classic Original Soymilk",b
"Vitasoy USA, Vitasoy Light Vanilla Soymilk",b
"Soymilk , unsweetened, with added calcium",b
"Soymilk , enhanced",b
"Soymilk, original and vanilla, light",c
"Soymilk, chocolate and other flavors, light",c
"Soymilk, lowfat, with added calcium",c
"Soymilk, nonfat, with added calcium",b
"Soymilk, chocolate, nonfat",a
"SILK Plain, soymilk",a
"SILK Vanilla, soymilk",b
"SILK Chocolate, soymilk",a
"SILK Light Plain, soymilk",b
"SILK Light Vanilla, soymilk",b
"SILK Light Chocolate, soymilk",b
"SILK Plus Omega-3 DHA, soymilk",b
"SILK Plus for Bone Health, soymilk",b
"SILK Plus Fiber, soymilk",c
"SILK Unsweetened, soymilk",c
"SILK Very Vanilla, soymilk",b
"SILK Nog, soymilk",a
"SILK Chai, soymilk",b
"SILK Mocha, soymilk",b
"SILK Coffee, soymilk",b
SILK Vanilla soy yogurt ,c
SILK Plain soy yogurt,b
SILK Strawberry soy yogurt,b
SILK Raspberry soy yogurt,b
SILK Peach soy yogurt,d
SILK Black Cherry soy yogurt,c
SILK Blueberry soy yogurt,a
SILK Key Lime soy yogurt,b
SILK Banana-Strawberry soy yogurt,c
SILK Original Creamer,b
SILK French Vanilla Creamer,b
SILK Hazelnut Creamer,b
"Vitasoy USA Organic Nasoya, Soft Tofu",a
"Vitasoy USA Nasoya, Lite Silken Tofu",b
"Vitasoy USA Organic Nasoya, Tofu Plus Extra Firm",c
"Vitasoy USA Organic Nasoya, Tofu Plus Firm",b
"Vitasoy USA Organic Nasoya Sprouted, Tofu Plus Super Firm",c
"Vitasoy USA Azumaya, Extra Firm Tofu",b
"Vitasoy USA Azumaya, Firm Tofu",b
"Vitasoy USA Azumaya, Silken Tofu",c
HOUSE FOODS Premium Soft Tofu,b
HOUSE FOODS Premium Firm Tofu,a
"Beans, adzuki, mature seed",c
"Peanut butter, chunk style, without salt",b
"Peanut butter, smooth style, without salt",a
"Peanut butter with omega-3, creamy",b
"Refried beans, canned, traditional",b
"Soybeans, mature seeds, cooked",a
"Soy protein concentrate, produced by acid wash",b
"Soy protein isolate, potassium type",b
"Soy sauce made from soy and wheat , low sodium",b
"Soy sauce, reduced sodium, made from hydrolyzed vegetable protein",c
"Tofu, raw, firm",b
"Tofu, raw, regular",a
"Tofu, dried-frozen , prepared with calcium sulfate",c
"Tofu, fried, prepared with calcium sulfate",a
"Tofu, salted and fermented , prepared with calcium sulfate",a
"Veal, Australian, rib",b
"Lamb, composite of trimmed retail cuts, separable lean and fat",b
"Lamb, composite of trimmed retail cuts, separable lean only",b
"Lamb, composite of trimmed retail cuts, separable fat",c
"Lamb, foreshank, separable lean and fat",b
"Lamb, foreshank, separable lean only",c
"Lamb, leg, whole ",b
"Lamb, leg, shank half",c
"Lamb, leg, sirloin half",b
"Lamb, loin, separable lean and fat",d
"Lamb, loin, separable lean only",b
"Lamb, rib, separable lean and fat",b
"Lamb, rib, separable lean only",b
"Lamb, shoulder, whole ",b
"Lamb, shoulder, arm",b
"Lamb, shoulder, blade",b
"Lamb, cubed for stew or kabob , separable lean only",c
"Lamb, New Zealand, imported",c
"Veal, composite of trimmed retail cuts, separable lean and fat",c
"Veal, composite of trimmed retail cuts, separable lean only",b
"Veal, composite of trimmed retail cuts, separable fat",a
"Veal, leg , separable lean and fat",a
"Veal, leg , separable lean only",a
"Veal, loin, separable lean and fat",b
IMPS# 332,b
"Veal, loin, separable lean only",c
IMPS # 332,c
"Veal, rib, separable lean and fat",a
"Veal, rib, separable lean only",b
"Veal, shoulder, whole ",a
"Veal, shoulder, arm",a
"Veal, shoulder, blade chop",c
IMPS# 1309,c
"Veal, shoulder, blade",a
"Veal, sirloin, separable lean and fat",b
"Veal, sirloin, separable lean only",a
"Veal, cubed for stew , separable lean only",b
"Veal, ground, raw",b
IMPS 396,a
"Veal, ground, cooked",a
"Game meat, antelope, raw",c
"Game meat, antelope, cooked",b
"Game meat, bear, raw",b
"Game meat, bear, cooked",a
"Bison, ground, grass-fed",b
Buffalo,b
"Game meat, beaver, raw",a
"Game meat, beaver, cooked",c
"Game meat, beefalo, composite of cuts",a
"Veal, Australian, separable fat",c
"Game meat, bison, separable lean only",c
buffalo,a
"Game meat, boar, wild",c
"Game meat, buffalo, water",b
"Game meat, caribou, raw",b
"Game meat, caribou, cooked",c
"Game meat, deer, raw",a
"Game meat, deer, cooked",a
"Game meat, elk, raw",b
"Game meat, elk, cooked",b
"Game meat, goat, raw",b
"Game meat, goat, cooked",b
"Game meat, horse, raw",c
"Game meat, horse, cooked",b
"Game meat, moose, raw",b
"Game meat, moose, cooked",b
"Game meat, muskrat, raw",b
"Game meat, muskrat, cooked",c
"Game meat, opossum, cooked",b
"Game meat, rabbit, domesticated",b
"Game meat, rabbit, wild",b
"Game meat, raccoon, cooked",a
"Game meat, squirrel, raw",b
"Game meat, squirrel, cooked",b
"Lamb, variety meats and by-products, brain",b
"Veal, variety meats and by-products, brain",c
"Lamb, variety meats and by-products, heart",b
"Veal, variety meats and by-products, heart",c
"Lamb, variety meats and by-products, kidneys",b
"Veal, variety meats and by-products, kidneys",a
"Lamb, variety meats and by-products, liver",a
"Veal, variety meats and by-products, liver",a
calf liver,a
"Lamb, variety meats and by-products, lungs",b
"Veal, variety meats and by-products, lungs",c
"Lamb, variety meats and by-products, mechanically separated",a
"Lamb, variety meats and by-products, pancreas",c
"Veal, variety meats and by-products, pancreas",d
"Lamb, variety meats and by-products, spleen",a
"Veal, variety meats and by-products, spleen",a
"Veal, variety meats and by-products, thymus",b
"Lamb, variety meats and by-products, tongue",b
"Veal, variety meats and by-products, tongue",b
"Lamb, ground, raw",b
"Lamb, ground, cooked",b
"Lamb, new zealand, imported",b
"Game meat, bison, top sirloin",b
buffalo,b
"Game meat, bison, ribeye",b
buffalo,b
"Game meat, bison, shoulder clod",a
buffalo,b
"Veal, breast, separable fat",b
"Veal, breast, whole",b
"Veal, breast, plate half",b
"Veal, breast, point half",b
"Veal, shank , separable lean and fat",c
"Veal, shank , separable lean only",c
"Lamb, Australian, imported",a
"Game meat , bison, ground",a
buffalo,a
"Game meat, bison, ground",a
buffalo,b
"Game meat , bison, top sirloin",b
buffalo,b
"Game meat, bison, chuck",b
buffalo,b
"Game meat, bison, top round",b
buffalo,b
"Game meat, elk, ground",b
"Game meat, elk, loin",b
"Game meat, elk, round",b
"Game meat, elk, tenderloin",a
"Game meat, deer, ground",c
venison,b
"Game meat, deer, loin",b
venison,b
"Game meat, deer, shoulder clod",b
venison,b
"Game meat, deer, tenderloin",a
venison,d
"Game meat, deer, top round",c
venison,a
"Veal, Australian, shank",b
"Lamb, Australian, ground",e
"Veal, leg, top round",d
IMPS#1336,d
"Veal, loin, chop",d
IMPS #1332,c
"Veal, shank, separable lean only",c
IMPS #312,a
"Veal, foreshank, osso buco",b
IMPS # 1312,b
"Veal, external fat only, raw",b
"Veal, external fat only, cooked",a
"Veal, seam fat only, raw",a
"Veal, seam fat only, cooked",b
"Veal, shank, separable lean and fat",b
IMPS# 312,a
"Amaranth grain, uncooked",a
"Amaranth grain, cooked",b
Arrowroot flour,b
"Barley, hulled",c
"Barley, pearled, raw",c
"Barley, pearled, cooked",a
Buckwheat,b
"Buckwheat groats, roasted, dry",b
kasha,b
"Buckwheat groats, roasted, cooked",b
kasha,b
"Buckwheat flour, whole-groat",b
"Bulgur, dry",c
"Bulgur, cooked",a
"Corn grain, yellow",a
dent corn,a
field corn,b
"Corn bran, crude",a
"Corn flour, whole-grain, yellow",b
"Corn flour, masa, enriched",b
